Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 25, 2015",0.30,0.33,0.28,0.32,"29,403.00","2,072,359.00"
"Feb 24, 2015",0.34,0.35,0.30,0.30,"68,823.00","1,926,957.00"
"Feb 23, 2015",0.28,0.31,0.27,0.30,"72,508.00","1,900,792.00"
"Feb 22, 2015",0.27,0.28,0.23,0.28,"24,935.00","1,757,016.00"
"Feb 21, 2015",0.27,0.28,0.26,0.27,"12,546.00","1,693,172.00"
"Feb 20, 2015",0.25,0.27,0.24,0.27,"20,714.00","1,708,597.00"
"Feb 19, 2015",0.22,0.27,0.22,0.25,"30,995.00","1,571,711.00"
"Feb 18, 2015",0.22,0.22,0.20,0.22,"29,431.00","1,376,992.00"
"Feb 17, 2015",0.22,0.23,0.22,0.22,"14,803.00","1,408,104.00"
"Feb 16, 2015",0.22,0.23,0.21,0.22,"7,722.00","1,384,263.00"
"Feb 15, 2015",0.25,0.25,0.21,0.22,"11,545.00","1,384,375.00"
"Feb 14, 2015",0.22,0.25,0.22,0.25,"17,171.00","1,539,602.00"
"Feb 13, 2015",0.22,0.23,0.21,0.22,"11,373.00","1,398,064.00"
"Feb 12, 2015",0.21,0.22,0.20,0.22,"22,536.00","1,356,729.00"
"Feb 11, 2015",0.22,0.22,0.20,0.20,"20,397.00","1,268,527.00"
"Feb 10, 2015",0.22,0.23,0.21,0.22,"13,224.00","1,336,714.00"
"Feb 09, 2015",0.23,0.23,0.22,0.22,"11,141.00","1,372,670.00"
"Feb 08, 2015",0.24,0.25,0.23,0.23,"10,261.00","1,440,298.00"
"Feb 07, 2015",0.24,0.25,0.23,0.24,"10,667.00","1,494,232.00"
"Feb 06, 2015",0.24,0.25,0.23,0.24,"12,618.00","1,444,198.00"
"Feb 05, 2015",0.26,0.26,0.23,0.24,"12,147.00","1,467,936.00"
"Feb 04, 2015",0.25,0.26,0.23,0.26,"17,230.00","1,537,603.00"
"Feb 03, 2015",0.27,0.27,0.24,0.25,"10,052.00","1,545,027.00"
"Feb 02, 2015",0.27,0.27,0.25,0.27,"14,792.00","1,611,885.00"
"Feb 01, 2015",0.25,0.28,0.24,0.27,"15,108.00","1,603,482.00"
